username,text,created_at,retweets,likes,
Jacqueline Marjory,Which Mag7 Stock Will Have the Best 3-Year Return From Here? $AAPL $218 $MSFT $391 $AMZN $197 $GOOGL $164 $TSLA $249 $META $596 $NVDA $118,Sun Mar 23 11:32:32 +0000 2025,3,9,
Bauncey Chillups,Seems like some accounting bs from $MSFT to smooth gaming revenue.,Fri Mar 28 21:23:52 +0000 2025,0,8,
Dom Loves Investing | Road to 100K,"Went exploring with my dad and the girls. While being out, I received a dividend from one of my favorite companies. $MSFT This is exactly the life I wanna live (just with bigger dividends )",Thu Mar 13 20:19:01 +0000 2025,0,29,
EV Investor,$nvda chips inventory going down means demand is insane… means eps will go up higher… $spy $qqq $dia $iwm $goog $tsla $meta $nflx $msft $aapl this is insanely chip at 23 2026 PE as growth stock this can easily rally 40% from here before you know it,Thu Mar 27 18:43:34 +0000 2025,1,2,
norvast,On day 13 $MSFT has entered its timing band for an early HCH before printing a left translated and failed daily cycle 5. It has already printed a failed weekly cycle so the decline into May may well test the ICL from 28 Sep,Tue Mar 25 07:45:41 +0000 2025,1,16,
Freedom Stocks,️ US construction boom led by one clear winner: data centers New data from the Census Bureau shows private construction spending on data centers has exploded past $30B/year. Are we in the early innings of a digital land grab? $AMZN $GOOG $MSFT $ORCL $ANET $CSCO,Mon Mar 24 14:29:53 +0000 2025,3,8,
TechStockFundamentals,"Notes from Coreweave ($CRWV) prospectus / net roadshow. Company finds customers that need GPUs, leases data centers from others, and then fills them w/ $NVDA GPUs. Contracts are 2-5 years long. 62% of last year’s revenue was from $MSFT and 15% was from another customer",Thu Mar 20 16:25:44 +0000 2025,26,229,
BOSSTrading,$SPX From the premarket plan to live call outs. We do it all every day. We were ready. Link in profile. $SPY $CRWV $QQQ $VIX $SQQQ $TSLA $NVDA $AAPL $MSFT $IONQ $SMR $RKLB $ASTS $GME $AMC $GOOGL $LLY $NVO $IWM $BROS $SBUX $ROKU,Fri Mar 28 17:45:05 +0000 2025,1,3,
Travis Hoium,$MSFT Does price matter? This is Microsoft's return from 1999 to 2014. This is a reminder that multiple expansion is a tailwind and multiple compression is a headwind. $PLTR $TSLA,Wed Mar 26 16:02:33 +0000 2025,1,4,
Eliav Assouline,Does RPO matter when $ORCL Last 9 mos FCF is down from $8.5B to $2.5B? $DLR $EQIX $MSFT $CRM,Mon Mar 10 21:36:32 +0000 2025,1,12,
Blossom,Here’s where Apple $AAPL gets its money from,Wed Mar 19 14:26:22 +0000 2025,25,81,
ShoNuff,$XOM with a textbook retest. Getting in on the pullback will have your profits go from 30% to hitting over 100% more often. When you take a breakout trade you most likely are paying more for that contract. That's fine if that's your strategy @RoyalTradingA $SPY $QQQ $AAPL,Thu Mar 20 01:09:20 +0000 2025,3,11,
Phoebeeno,"$AAPL + $AMZN + $MSFT + $META + $GOOGL + $NVDA + $NFLX monthly if the #VAH from the 2022 low profile is tested (highlighted in yellow), it would be a 30% move from the top.. watch the $MAGS / $RSP channel in the pane below for confirmation; holding up for now.",Sat Mar 29 08:33:32 +0000 2025,0,0,
SaralTrader_Pragati,Big Tech PE ratio and drawdowns from top…! What do you think? $NVDA $AAPL $TSLA,Sun Mar 16 21:45:22 +0000 2025,1,4,
ryukhermes,Which Mag7 stock is going to have the best 2-year return from here? $AAPL $218 $MSFT $391 $AMZN $197 $GOOGL $164 $TSLA $249 $META $596 $NVDA $118,Sun Mar 23 20:36:23 +0000 2025,0,4,
Jacqueline Marjory,Which Mag7 Stock Will Have the Best 3-Year Return From Here? $AAPL $218 $MSFT $391 $AMZN $197 $GOOGL $164 $TSLA $249 $META $596 $NVDA $118,Sun Mar 23 11:32:32 +0000 2025,3,9,
raldblox,"dang, only 47 users are farming $AAPL using $BTC for $CORE users or #coretoshi out there, why not take a bite of $3M in rewards from @etherlink? join us here and get +5% boost on your earnings!",Thu Mar 27 13:01:24 +0000 2025,2,7,
EV Investor,$nvda chips inventory going down means demand is insane… means eps will go up higher… $spy $qqq $dia $iwm $goog $tsla $meta $nflx $msft $aapl this is insanely chip at 23 2026 PE as growth stock this can easily rally 40% from here before you know it,Thu Mar 27 18:43:34 +0000 2025,1,2,
Matias Perez,"My MacBook fell from 1 meter high, dented the floor, and kept working. Now I have a curved-screen MacBook and a few shares of $AAPL in my portfolio.",Fri Mar 28 01:39:07 +0000 2025,0,4,
Avid Trader,Sold $AAPL Puts From $0.16 to $1.00 WOW +453% All Publicly Stated,Fri Mar 28 14:28:32 +0000 2025,0,2,
BOSSTrading,$SPX From the premarket plan to live call outs. We do it all every day. We were ready. Link in profile. $SPY $CRWV $QQQ $VIX $SQQQ $TSLA $NVDA $AAPL $MSFT $IONQ $SMR $RKLB $ASTS $GME $AMC $GOOGL $LLY $NVO $IWM $BROS $SBUX $ROKU,Fri Mar 28 17:45:05 +0000 2025,1,3,
Jerry Sung,"Trump made a big tariff threat right after the election. The market sold off and corrected ~10 percent. Then the investment wave started. Over $3 trillion in new commitments poured in from companies like $AAPL, SoftBank, $TSM, $NVDA, and others. Now he’s saying some countries",Tue Mar 25 02:59:51 +0000 2025,0,2,
Robert Lesnicki,This really ain’t that hard. Stay away from Mag7! $AAPL $GOOGL $AMZN $MSFT $META $NVDA Mag7 is going through an unwind process by large institutional holders. The people that are buying is retail… Not strong hands at all. The best value remains in International equities/etfs.,Fri Mar 28 16:14:28 +0000 2025,0,3,
Lawrence Garfield,"So from what my legal and research teams are gathering, $GME is now legitimate? Let’s make some money! $apdn $qbts $bbai $soun $crk $boil $kold $et $amzn $aapl $btc $doge $tsla $tsll $gme $wmt $wfc $ampg $nvda $goog $nvdu",Wed Mar 26 17:36:35 +0000 2025,0,4,
Cheddar Flow,"Most Bullish &amp; Bearish flow from today $AAPL is a measly $5M, while $NVDA &amp; $TSLA had a lot of bearish flow",Wed Mar 26 18:56:15 +0000 2025,5,53,
WilliamNextLvl,$META from $740 to $582 $AAPL from $266 to $218 $TSLA from $495 to $262 $MSFT from $469 to $380 $NVDA from $152 to $108 Stock will not go down forever. Stocks will not stay down under a Trump presidency. &gt; BUY THIS DIP!,Fri Mar 28 16:04:57 +0000 2025,3,13,
Heisenberg,$BRK.A hit another fresh ATH today. I don’t know how Uncle Warren does it. According to the chart below $AAPL and $AXP make up for 40% of his portfolio and both are down 20% from their ATH’s. Berkshire is now +16% ytd vs SPX -4.3% ytd. WTF… What is this sorcery?!,Wed Mar 19 04:29:38 +0000 2025,16,222,
From Growth To Value,"2000s: $GOOGL, $AAPL, $FDX Search engines, smartphones, and logistics (because of e-commerce). $GOOGL: Yahoo! could buy it for $1M but refused in 1998. In 2002, it realized its mistake and offered $3 billion. Google wanted $5B, Yahoo! refused. The rest is history.",Fri Mar 21 19:42:34 +0000 2025,0,3,
Trade With Insight,"Impressive strength from $AAPL after trapping below 215. Needs to clear 218 for continuation. A lot of bullish data across the board including opening candle continuation for $AAPL, indicating an 80% chance of a green close.",Thu Mar 20 15:20:15 +0000 2025,1,3,
Freddy Mini,$META from $740 to $582 $AAPL from $266 to $218 $TSLA from $495 to $262 $MSFT from $469 to $380 $NVDA from $152 to $108 Who needs COVID or subprime... #wtf,Fri Mar 28 21:51:07 +0000 2025,0,0,
Oguz O. | 𝕏 Capitalist 💸,"$GOOG can easily double in the next 5 years. Cloud revenue is exploding, Youtube growth remains strong and it's actively diversifying away from search. Yet, it's the cheapest mega-cap stock. Here is my $GOOG investment thesis:",Mon Feb 24 16:10:54 +0000 2025,77,958,
Zoomer,Advertising Revenue by Company. $GOOG generates more revenue from advertising than New Zealand’s GDP. $META $AMZN $MSFT $SNAP $PINS $SPOT $YELP $RDDT $FOX,Mon Mar 17 13:50:45 +0000 2025,0,9,
TraderFlorida,$GOOG - down $9.00 from suggested short entry. Projected price target $155.00 area.,Tue Mar 18 21:50:51 +0000 2025,0,7,
Jacqueline Marjory,Notable Stocks Down -40% or More from 52-Week Highs: $INTU -40% $NVDA -65% $GOOG -61% $AMZN -55% $META -53% $AAPL -51% $MSFT -50% $BABA -48% $SPGI -46% $SHOP -45% $TSLA -43% $PYPL -42% $NFLX -41% $ZM -40%,Fri Mar 14 12:09:34 +0000 2025,7,24,
The Transcript,"Alphabet CEO @sundarpichai: ""Gemma 3 is here! Our new open models are incredibly efficient - the largest 27B model runs on just one H100 GPU. You'd need at least 10x the compute to get similar performance from other models"" $GOOG $GOOGL",Wed Mar 12 11:30:16 +0000 2025,28,268,
Chit Chat Stocks,Alphabet EV/EBIT is now below 18 $GOOG Chart from @finchat_io,Mon Mar 03 21:56:34 +0000 2025,3,14,
The Transcript,"Wiz CEO: ""Today, Wiz provides organizations with end-to-end protection across the entire modern cloud development stack from code to cloud to run time"" $GOOG $GOOGL",Wed Mar 19 03:14:41 +0000 2025,1,11,
SHIB Bezos,$NIO REMEMBER IT TOOK ONLY 6 MONTHS FOR #NIO TO GO FROM $4.50 TO $66 IN JUNE 2020 TO JANUARY 2021 $AMD $MARA $CLSK $WULF $BITF $CIFR $CORZ $CORZW $CORZZ $IBIT $HODL $ARKB $GBTC $BITB $FBTC $EZBC $BTCW $BTCO $BRRR $PYPL $BABA $LCID $RDDT $HOOD $TSLA $META $MSTR $AAPL $AMZN $GOOG,Sun Mar 02 04:10:53 +0000 2025,3,3,
Pierre de Wulf,"Either Google search is really starting to dip. Or, for some reason GPT is falling in love with ScrapingBee . But the share of traffic coming from GPT is slowly starting to become significant. Too soon to short $GOOG?",Thu Feb 27 15:19:13 +0000 2025,0,17,
WealthBranch,Big Opportunities Await -&gt; WEALTHBRANCH ZONE INDICATOR &lt;- Price From 52 Week Low: $ME | 31.17% $MIST | 50.22% $RIVN | 36.56% $VVPR | 85.19% $DTE | 23.77% $VOO | 12.90% $MSTR | 68.88% $GOOG | 9.66% $RDDT | 66.12% $SPY $QQQ,Fri Mar 28 15:15:41 +0000 2025,1,3,
CapexAndChill,In a year or two from now I don’t want to hear about stocks being too overvalued $AMZN $GOOG $UBER $ASML,Fri Mar 28 22:52:26 +0000 2025,0,4,0
Phil Rosen,"Google is acquiring Wiz for $32 billion. $GOOG suddenly doesn't look like a pushover in the Cloud Wars against Amazon and Microsoft. Plus, Wiz looks extra smart after walking from a $23 billion offer last year.",Tue Mar 18 17:20:47 +0000 2025,2,7,1
J Keynes,"$IONQ $HON $GOOG $RGTI $QBTS $NVDA Fairy Tales and Forecasts: Quantum’s Pinocchios vs. Realists Yet another company (Google!) has said we are at least five years away from quantum utility. “We think we’re about five years out from a real breakout, kind of practical application",Wed Mar 26 19:00:57 +0000 2025,5,22,1
ShamefulPlum,"Moving around the Profolio: + $BTI - Velo is taking shares from Zyn. I know numerous friends who have made the switch. growth story should allow this to re-rate to 12x imo. - $GOOG They are actively investing in two capex-heavy businesses, AI &amp; Robotaxies. I'mma Pass",Mon Mar 17 17:38:35 +0000 2025,5,51,-1
EV Investor,$nvda chips inventory going down means demand is insane… means eps will go up higher… $spy $qqq $dia $iwm $goog $tsla $meta $nflx $msft $aapl this is insanely chip at 23 2026 PE as growth stock this can easily rally 40% from here before you know it,Thu Mar 27 18:43:34 +0000 2025,1,2,1
📈 Trade with Institutional 🏦💰 Money,#Nasdaq dropping from SUPPLY and look at $GOOG.,Tue Mar 18 14:03:03 +0000 2025,3,9,0
Freedom Stocks,️ US construction boom led by one clear winner: data centers New data from the Census Bureau shows private construction spending on data centers has exploded past $30B/year. Are we in the early innings of a digital land grab? $AMZN $GOOG $MSFT $ORCL $ANET $CSCO,Mon Mar 24 14:29:53 +0000 2025,3,8,0
SheepWolf 💫,"$ILLR I love buying low--that's where the biggest profits come from. market cap only $140m, insane. #BKFC sub valued at $400B alone. Bottom is in IT'S GO TIME! @jctb1 @TheWingFai @triller_IR $META $GOOG $SNAP $DJT $RDDT $NVDA $PINS $PSTV $AGMH $GV $MRM $RNAZ $BTOG",Fri Mar 14 15:15:00 +0000 2025,5,7,0
SheepWolf 💫,"$ILLR I love buying low--that's where the biggest profits come from. market cap only $107m, insane. #BKFC sub valued at $400M alone. Buying low is the shizzle! @jctb1 @TheWingFai @triller_IR $META $GOOG $SNAP $DJT $RDDT $NVDA $PINS $PSTV $ACON $DBVT $IBO $RNAZ $SNSE $SES $TWG",Fri Mar 28 18:00:01 +0000 2025,3,4,0
SHIB Bezos,$NIO REMEMBER IT TOOK ONLY 6 MONTHS FOR #NIO TO GO FROM $4.50 TO $66 IN JUNE 2020 TO JANUARY 2021 $NVDA $AAPL $META $TSLA $COIN $HOOD $PINS $SNAP $GOOG $MSFT $MSTR $DJT $WMT $TGT $CMG $AMD $MARA $RIOT $CLSK $WULF $BITF $CIFR $CORZ $CORZW $CORZZ $GME $AMC $PYPL $SQ $COST $BABA,Wed Feb 26 16:01:38 +0000 2025,1,12,1
FinChat,AWS Operating Margins hit a record of 37% this year. That's up from 27% just a year ago. $AMZN,Mon Mar 17 14:30:05 +0000 2025,83,681,1
ＤＲＥＡＤ ＢＯＮＧＯ,"Here's one of the Worlds Richest Men, Jeff Bezos talking about the $AMZN stock crash ""As I watched our stock fall from $113 - $6, I was watching all of our internal business metrics getting better &amp; fast"" Price is an opportunity.. Focus on what is being built $TAO $QNT $KAS",Thu Mar 13 23:44:54 +0000 2025,64,531,1
FinChat,Amazon now trades at a lower forward P/E than Walmart. Which one works out better from here? $AMZN $WMT,Wed Mar 19 16:07:03 +0000 2025,63,570,1
Phoebeeno,"$AAPL + $AMZN + $MSFT + $META + $GOOGL + $NVDA + $NFLX monthly if the #VAH from the 2022 low profile is tested (highlighted in yellow), it would be a 30% move from the top.. watch the $MAGS / $RSP channel in the pane below for confirmation; holding up for now.",Sat Mar 29 08:33:32 +0000 2025,0,0,0
Tech Investor,"In 2021, $AMZN declined by 94.69% when its sales were growing fast; from $113 in December 1999 to $6 in September 2001. I don’t want to scare you but imagine $HIMS dropping from $72.98 to $3.85. That drop Jeff Bezos talked about had changed so many people’s lives forever, for",Sat Mar 15 04:03:56 +0000 2025,15,151,0
ryukhermes,Which Mag7 stock is going to have the best 2-year return from here? $AAPL $218 $MSFT $391 $AMZN $197 $GOOGL $164 $TSLA $249 $META $596 $NVDA $118,Sun Mar 23 20:36:23 +0000 2025,0,4,0
Modern Day Investing,"$AMZN is an amazing brand. Went to order something from $MSFT and the delivery time was 3 weeks. Went to Amazon and ordered the same item, for the same price and is getting here tomorrow. Bullish.",Mon Mar 17 23:01:24 +0000 2025,0,25,0
Jacqueline Marjory,Which Mag7 Stock Will Have the Best 3-Year Return From Here? $AAPL $218 $MSFT $391 $AMZN $197 $GOOGL $164 $TSLA $249 $META $596 $NVDA $118,Sun Mar 23 11:32:32 +0000 2025,3,9,0
Stock Analysis Compilation,"Montaka on Amazon $AMZN US Thesis: Amazon’s relentless automation strategy in logistics and AWS is accelerating its cost advantage, enhancing customer loyalty, and reinforcing a self-sustaining growth flywheel—positioning the company for long-term dominance. (Extract from their",Thu Mar 20 14:31:14 +0000 2025,1,5,1
DonCorleone77,"$WMT $ORLY $SHW $HD $AMZN The attached is from Evercore ISI's 'First Look' this morning. Their ""Fab 5"":",Tue Mar 25 16:04:32 +0000 2025,0,2,0
CapexAndChill,In a year or two from now I don’t want to hear about stocks being too overvalued $AMZN $GOOG $UBER $ASML,Fri Mar 28 22:52:26 +0000 2025,0,4,0
Freedom Stocks,️ US construction boom led by one clear winner: data centers New data from the Census Bureau shows private construction spending on data centers has exploded past $30B/year. Are we in the early innings of a digital land grab? $AMZN $GOOG $MSFT $ORCL $ANET $CSCO,Mon Mar 24 14:29:53 +0000 2025,3,8,0
LeftHandBlack,"@DanzTrader @Banana3Stocks If we’re being honest, selling at open and you banked. Highs for those options. $NVDA $.51 from $.55 average high $3.05 $TSLA $.63 from $1.47 average high $7.95 $AMZN $.28 from $.80 average high $4.40 $QQQ $.47 from $1.23 average high $7.69",Sat Mar 29 01:17:36 +0000 2025,0,4,0
fud llc,difficult to compare business to anything since it’s the first and only business on the blockchain but I imagine our price action is similar to the post dot com burst of $AMZN years from now people will look back l and say I can’t believe it was only ___ under $1 is free,Mon Mar 17 05:18:35 +0000 2025,13,55,1
Lawrence Garfield,"So from what my legal and research teams are gathering, $GME is now legitimate? Let’s make some money! $apdn $qbts $bbai $soun $crk $boil $kold $et $amzn $aapl $btc $doge $tsla $tsll $gme $wmt $wfc $ampg $nvda $goog $nvdu",Wed Mar 26 17:36:35 +0000 2025,0,4,1
Gil Morales - TheOWLTrader.com & VoSI,"Money not all that interested in big-stock NASDAQ techs. No help from $AAPL $AMZN $GOOGL $META or $NVDA this morning, and at least three of these may be triggering short entries here. #EatMyShorts",Mon Mar 17 15:26:34 +0000 2025,2,32,-1
Robert Lesnicki,This really ain’t that hard. Stay away from Mag7! $AAPL $GOOGL $AMZN $MSFT $META $NVDA Mag7 is going through an unwind process by large institutional holders. The people that are buying is retail… Not strong hands at all. The best value remains in International equities/etfs.,Fri Mar 28 16:14:28 +0000 2025,0,3,-1
ski (🧪/⛓️),old watchlist from aug 12 2023 i made when i was first learning the markets $cost high 1078 (91%) $amzn high 241 (57%) $bac high 48 (58%) $tm high 255 (52%) $adbe (-24%),Fri Mar 21 17:19:12 +0000 2025,0,2,0
Gab,"2) $AMZN - Amazon Amazon dominates two secular megatrends: e-commerce and cloud. Amazon boasts over 200M prime members worldwide while AWS corners a massive 32% share of the global cloud infrastructure market. AWS provides recurring B2B revenue, insulating the business from",Thu Mar 27 16:13:22 +0000 2025,0,4,1
The Minotaur,Following on our $CVNA / $AMZN post to name an unexpected champion: $BNED! Sharp execution of IA / EA bundles at $BNED -- which amassed 700k+ participating FDC students in 2024 from virtually zero in 2019 -- caused Amazon to exit the space in 2023.,Wed Mar 19 18:23:24 +0000 2025,0,6,0
CyclesFan,"$META - After a 22% drawdown from the February top, in the last 2 days it almost hit the 200 day MA for the 1st time in this bull market. We have the 1st signs of a bullish reversal today. It could be off to the races again.",Thu Mar 20 17:52:44 +0000 2025,15,135,1
Tiho Brkan,Now I know who bought $META shares from us above $730.,Mon Mar 24 13:25:58 +0000 2025,0,19,0
Phoebeeno,"$AAPL + $AMZN + $MSFT + $META + $GOOGL + $NVDA + $NFLX monthly if the #VAH from the 2022 low profile is tested (highlighted in yellow), it would be a 30% move from the top.. watch the $MAGS / $RSP channel in the pane below for confirmation; holding up for now.",Sat Mar 29 08:33:32 +0000 2025,0,0,0
Johnny The Wizzy 💹🧲✨️,$META is at sub $100k market cap. A great opportunity to grab a decent bag and join a community that does not let the price action or low volume discourage them from showing up every single day and grinding hard. How many others would do the same under those conditions?,Sat Mar 29 11:25:25 +0000 2025,4,6,1
ryukhermes,Which Mag7 stock is going to have the best 2-year return from here? $AAPL $218 $MSFT $391 $AMZN $197 $GOOGL $164 $TSLA $249 $META $596 $NVDA $118,Sun Mar 23 20:36:23 +0000 2025,0,4,0
Dimitry Nakhla | Babylon Capital®,"$META stock dropped 21% in the past month, losing ~$400B in market cap At 23x NTM earnings &amp; a PEG &lt;2.00, it’s starting to look appealing again Here’s $META’s CAGR potential to 2027, assuming current EPS estimate of $33.58 from today’s $582 price: 25x 14.4% 24x 12.7% 23x 11.0%",Wed Mar 19 12:13:53 +0000 2025,20,126,1
Jacqueline Marjory,Which Mag7 Stock Will Have the Best 3-Year Return From Here? $AAPL $218 $MSFT $391 $AMZN $197 $GOOGL $164 $TSLA $249 $META $596 $NVDA $118,Sun Mar 23 11:32:32 +0000 2025,3,9,0
Jack,$META is down almost 20% from the highs,Sat Mar 08 15:56:00 +0000 2025,3,18,-1
Wall St Engine,"FACEBOOK WILL NOW PAY CREATORS FOR VIEWS ON STORIES $META is rolling out story monetization globally, letting creators earn money from public Stories under the Facebook Content Monetization program. No minimum view threshold is required—payouts are based on engagement. Last",Thu Mar 13 17:54:39 +0000 2025,15,76,1
blake,"Meta. Sitting at it's long-term uptrend from the low in 2022, risk for longs can be a close under last weeks low/uptrend which sits at $585. $META",Sat Mar 15 21:38:35 +0000 2025,21,234,-1
Banana3,"$META META - daily chart analysis My first target for this chart is $630 My second target for this chart $655 It’s clear that for META, the 200 Daily Moving Avg has been a strong area of support for META. This makes sense to me from a few different perspectives. We",Sun Mar 23 15:34:47 +0000 2025,36,344,0
TMT Breakout,"Weak ad channel checks from a UBS call this morning, lowering estimates on $META and $GOOGL, potentially planning for bigger budget cuts. Passed along by a sub in TMTB chat:",Mon Mar 17 16:52:29 +0000 2025,3,36,-1
EV Investor,$nvda chips inventory going down means demand is insane… means eps will go up higher… $spy $qqq $dia $iwm $goog $tsla $meta $nflx $msft $aapl this is insanely chip at 23 2026 PE as growth stock this can easily rally 40% from here before you know it,Thu Mar 27 18:43:34 +0000 2025,1,2,1
michael Edwin,"#VIDT looking weak after rejection from the highs, now breaking down with a potential -30% drop ahead⚠️ Losing support around $0.014 could send it straight to $0.0122. Watching for a breakdown confirmation #VIDTUSDT $VIDT $SPY $TSLA $NVDA $QQQ $META $COIN $MSTR #BTC",Fri Mar 21 21:19:50 +0000 2025,0,4,-1
Dads Road To 1M,$META is still up almost 600% from the 2022 dip. This is mind blowing Did you buy any?,Thu Mar 27 14:20:40 +0000 2025,0,15,1
SheepWolf 💫,"$ILLR I love buying low--that's where the biggest profits come from. market cap only $107m, insane. #BKFC sub valued at $400M alone. Buying low is the shizzle! @jctb1 @TheWingFai @triller_IR $META $GOOG $SNAP $DJT $RDDT $NVDA $PINS $PSTV $ACON $DBVT $IBO $RNAZ $SNSE $SES $TWG",Fri Mar 28 18:00:01 +0000 2025,3,4,1
Wall St Engine,"EU TO LIMIT $AAPL, $META FINES TO AVOID TENSIONS WITH TRUMP: FT Brussels is moving ahead with enforcement of the Digital Markets Act but plans to keep fines for Apple and Meta well below the 10% global turnover max, hoping to avoid triggering retaliation from Trump. Both",Fri Mar 28 07:15:03 +0000 2025,19,97,1
Mostly Borrowed Ideas,"Chris Cox from $META at MS TMT Conference today. Funny example about why Meta AI's ""Imagine me"" feature gained a lot of popularity on Valentine's Day lol",Wed Mar 05 20:37:37 +0000 2025,11,102,1
kulturdesken,$META gapping up on a start of a runaway move? 2/5ths there in 2 days. what do you guys and gals think that means? Open your eyes is a good song from Bobby Caldwell,Tue Mar 25 15:11:20 +0000 2025,0,2,0
Robert Lesnicki,This really ain’t that hard. Stay away from Mag7! $AAPL $GOOGL $AMZN $MSFT $META $NVDA Mag7 is going through an unwind process by large institutional holders. The people that are buying is retail… Not strong hands at all. The best value remains in International equities/etfs.,Fri Mar 28 16:14:28 +0000 2025,0,3,-1
